iter	Passed	Remaining
566	19891	15190
567	19920	15150
568	19952	15113
569	19979	15071
570	20016	15038
571	20051	15003
572	20082	14965
573	20113	14927
574	20151	14894
575	20180	14855
576	20214	14819
577	20244	14780
578	20277	14744
579	20301	14700
580	20332	14662
581	20355	14619
582	20376	14574
583	20404	14534
584	20442	14502
585	20474	14465
586	20510	14430
587	20540	14392
588	20576	14358
589	20635	14340
590	20671	14305
591	20704	14269
592	20763	14250
593	20790	14210
594	20817	14169
595	20854	14135
596	20875	14091
597	20904	14052
598	20935	14015
599	20966	13977
600	20989	13934
601	21020	13897
602	21055	13862
603	21076	13818
604	21093	13771
605	21117	13729
606	21184	13716
607	21220	13681
608	21258	13648
609	21286	13609
610	21314	13569
611	21340	13529
612	21385	13501
613	21446	13482
614	21492	13454
615	21514	13411
616	21547	13375
617	21578	13337
618	21604	13297
619	21644	13265
620	21674	13228
621	21712	13195
622	21741	13156
623	21767	13116
624	21805	13083
625	21832	13043
626	21860	13004
627	21890	12966
628	21926	12932
629	21943	12887
630	21964	12844
631	21998	12809
632	22025	12769
633	22059	12734
634	22090	12697
635	22119	12659
636	22172	12635
637	22198	12595
638	22235	12561
639	22270	12526
640	22325	12503
641	22355	12466
642	22388	12430
643	22409	12388
644	22439	12350
645	22470	12313
646	22499	12275
647	22526	12236
648	22571	12207
649	22596	12167
650	22618	12125
651	22640	12084
652	22671	12047
653	22703	12011
654	22733	11974
655	22765	11937
656	22795	11901
657	22817	11859
658	22847	11822
659	22873	11783
660	22901	11745
661	22931	11708
662	22989	11685
663	23021	11649
664	23049	11611
665	23067	11568
666	23102	11534
667	23129	11495
668	23158	11458
669	23203	11428
670	23229	11389
671	23278	11362
672	23311	11326
673	23341	11289
674	23365	11250
675	23388	11210
676	23422	11175
677	23461	11142
678	23494	11107
679	23523	11069
680	23566	11039
681	23598	11003
682	23623	10964
683	23651	10926
684	23687	10892
685	23712	10853
686	23739	10815
687	23763	10776
688	23793	10739
689	23822	10703
690	23840	10661
691	23890	10633
692	24240	10738
693	24306	10717
694	24380	10699
695	24432	10671
696	24672	10725
697	24983	10809
698	25070	10795
699	25124	10767
700	25182	10741
701	25259	10722
702	25378	10721
703	25422	10689
704	25453	10650
705	25514	10624
706	25567	10595
707	25647	10577
708	25680	10540
709	25713	10502
710	25752	10467
711	25781	10428
712	25811	10389
713	25844	10352
714	25871	10312
715	25895	10271
716	25958	10245
717	25985	10206
718	26042	10178
719	26082	10143
720	26132	10112
721	26173	10077
722	26208	10041
723	26238	10002
724	26274	9966
725	26321	9933
726	26363	9900
727	26404	9865
728	26473	9841
729	26508	9804
730	26559	9773
731	26595	9737
732	26629	9700
733	26658	9661
734	26688	9622
735	26714	9582
736	26757	9548
737	26784	9508
738	26802	9466
739	26823	9424
740	26850	9385
741	26881	9346
742	26918	9311
743	26957	9275
744	26978	9234
745	27008	9195
746	27043	9159
747	27075	9121
748	27091	9078
749	27111	9037
750	27140	8998
751	27170	8960
752	27205	8923
753	27238	8886
754	27277	8851
755	27306	8813
756	27343	8777
757	27372	8738
758	27409	8703
759	27441	8665
760	27474	8628
761	27505	8590
762	27530	8551
763	27563	8514
764	27598	8477
765	27638	8443
766	27690	8411
767	27759	8385
768	27823	8357
769	27856	8320
770	27890	8284
771	27911	8243
772	27970	8213
773	28019	8181
774	28133	8167
775	28156	8127
776	28208	8095
777	28256	8063
778	28294	8026
779	28374	8002
780	28442	7975
781	28471	7937
782	28514	7902
783	28544	7864
784	28581	7828
785	28643	7798
786	28714	7771
787	28798	7747
788	28855	7716
789	28928	7689
790	29140	7699
791	29201	7669
792	29275	7641
793	29320	7606
794	29356	7569
795	29397	7534
796	29446	7500
797	29475	7461
798	29495	7420
799	29546	7386
800	29603	7354
801	29644	7318
802	29691	7284
803	29724	7246
804	29769	7211
805	29789	7170
806	29823	7132
807	29868	7097
808	29938	7068
809	29971	7030
810	30006	6992
811	30039	6954
812	30084	6919
813	30134	6885
814	30207	6857
815	30266	6824
816	30328	6793
817	30367	6756
818	30396	6717
819	30424	6678
820	30458	6640
821	30496	6603
822	30537	6567
823	30563	6528
824	30593	6489
825	30620	6450
826	30652	6412
827	30687	6374
828	30715	6335
829	30738	6295
830	30793	6262
831	30829	6225
832	30852	6185
833	30884	6147
834	30910	6108
835	30941	6069
836	30968	6030
837	30988	5990
838	31015	5951
839	31070	5918
840	31106	5881
841	31146	5844
842	31178	5806
843	31214	5769
844	31242	5730
845	31286	5695
846	31312	5656
847	31338	5617
848	31365	5578
849	31408	5542
850	31473	5510
851	31527	5476
852	31568	5440
853	31596	5401
854	31626	5363
855	31661	5326
856	31696	5288
857	31723	5250
858	31751	5211
859	31785	5174
860	31818	5136
861	31855	5099
862	31884	5061
863	31912	5023
864	31946	4985
865	31964	4945
866	31997	4908
867	32023	4869
868	32046	4830
869	32072	4792
870	32117	4756
871	32144	4718
872	32173	4680
873	32204	4642
874	32228	4604
875	32251	4565
876	32276	4526
877	32325	4491
878	32341	4452
879	32366	4413
880	32395	4375
881	32421	4337
882	32454	4300
883	32471	4260
884	32521	4225
885	32549	4188
886	32584	4151
887	32622	4114
888	32650	4076
889	32666	4037
890	32688	3998
891	32716	3961
892	32749	3924
893	32788	3887
894	32817	3850
895	32846	3812
896	32875	3774
897	32918	3739
898	32957	3702
899	33001	3666
900	33041	3630
901	33087	3594
902	33144	3560
903	33184	3524
904	33226	3487
905	33267	3451
906	33299	3414
907	33333	3377
908	33364	3340
909	33403	3303
910	33431	3266
911	33486	3231
912	33526	3194
913	33544	3156
914	33565	3118
915	33599	3081
916	33624	3043
917	33650	3005
918	33683	2968
919	33714	2931
920	33747	2894
921	33777	2857
922	33803	2820
923	33829	2782
924	33864	2745
925	33907	2709
926	33939	2672
927	33961	2634
928	34000	2598
929	34040	2562
930	34092	2526
931	34142	2491
932	34187	2455
933	34236	2419
934	34266	2382
935	34307	2345
936	34363	2310
937	34401	2273
938	34424	2236
939	34452	2199
940	34496	2162
941	34529	2126
942	34567	2089
943	34601	2052
944	34631	2015
945	34674	1979
946	34696	1941
947	34730	1905
948	34775	1868
949	34802	1831
950	34835	1794
951	34873	1758
952	34905	1721
953	34946	1685
954	35015	1649
955	35054	1613
956	35085	1576
957	35116	1539
958	35141	1502
959	35202	1466
960	35232	1429
961	35271	1393
962	35306	1356
963	35339	1319
964	35372	1282
965	35404	1246
966	35499	1211
967	35553	1175
968	35588	1138
969	35631	1101
970	35684	1065
971	35742	1029
972	35771	992
973	35816	956
974	35839	918
975	35871	882
976	35916	845
977	35938	808
978	35998	772
979	36039	735
980	36072	698
981	36107	661
982	36140	625
983	36162	588
984	36193	551
985	36215	514
986	36252	477
987	36279	440
988	36312	403
989	36340	367
990	36366	330
991	36403	293
992	36435	256
993	36477	220
994	36509	183
995	36542	146
996	36570	110
997	36595	73
998	36631	36
999	36738	0
