iter	Logloss
0	0.6487438823
1	0.6063571188
2	0.5672459442
3	0.5380345734
4	0.5131145635
5	0.4912674518
6	0.4717759094
7	0.4562966784
8	0.4401773194
9	0.4255060943
10	0.4161730598
11	0.4054299435
12	0.395444876
13	0.3882455506
14	0.3813403096
15	0.3754775574
16	0.3721648571
17	0.3665972863
18	0.3617255988
19	0.3573091447
20	0.3532382755
21	0.3498353989
22	0.3465764675
23	0.3435871816
24	0.3408318152
25	0.3387220012
26	0.3367174007
27	0.3342449739
28	0.3332509405
29	0.3315728394
30	0.3298817016
31	0.3280115357
32	0.3267969889
33	0.3253961597
34	0.3242140822
35	0.3230708877
36	0.3222264005
37	0.3212265004
38	0.3200533185
39	0.3191228137
40	0.3181358019
41	0.3173728432
42	0.3163593499
43	0.3155030211
44	0.3148092114
45	0.314275352
46	0.3136673137
47	0.3129620624
48	0.3122555459
49	0.3117337238
50	0.3110345178
51	0.3103667924
52	0.3098338477
53	0.3093894884
54	0.3089136853
55	0.3084191696
56	0.3078395883
57	0.3074871484
58	0.3072514338
59	0.3069183239
60	0.3063914245
61	0.3060251673
62	0.3057278132
63	0.3053650523
64	0.3045336024
65	0.3042328153
66	0.3038767986
67	0.3034087659
68	0.3030432781
69	0.3027298736
70	0.3025092768
71	0.3021293321
72	0.3017896967
73	0.301366248
74	0.3011285002
75	0.3008530058
76	0.3005776454
77	0.3002279975
78	0.3000139967
79	0.2990439619
80	0.2987852837
81	0.298494051
82	0.2983306478
83	0.2979898725
84	0.2973495716
85	0.2970933578
86	0.2968182974
87	0.2966356621
88	0.2963449552
89	0.2960526709
90	0.2955389469
91	0.2953488933
92	0.2950507613
93	0.2948635196
94	0.2946324187
95	0.2944078754
96	0.2941533789
97	0.2936593915
98	0.2935232126
99	0.2932861605
100	0.2930547829
101	0.2928948127
102	0.2926802281
103	0.2925256043
104	0.2923124038
105	0.2921875353
106	0.2920264601
107	0.2918556346
108	0.2917554813
109	0.2915061729
110	0.2913102197
111	0.2911074856
112	0.2909266384
113	0.2907693643
114	0.2905621028
115	0.2904531354
116	0.2902640106
117	0.2900491955
118	0.2898658988
119	0.2895599597
120	0.2894010504
121	0.289252705
122	0.2889754094
123	0.2885568178
124	0.2878666987
125	0.2875783764
126	0.2874283954
127	0.2873196278
128	0.287200309
129	0.2870022802
130	0.2865846415
131	0.286455312
132	0.2863620334
133	0.2862375897
134	0.2860754176
135	0.2859786524
136	0.2858304253
137	0.285736209
138	0.2856196038
139	0.2855365123
140	0.2853999563
141	0.2852858612
142	0.2851929193
143	0.285069086
144	0.2848842806
145	0.2847739048
146	0.2846735357
147	0.2845767386
148	0.2840449133
149	0.2838166228
150	0.2837277803
151	0.2834732914
152	0.2833543568
153	0.2832095211
154	0.2831184628
155	0.2830326003
156	0.2829823
157	0.2829095744
158	0.2827966412
159	0.2826606753
160	0.2824830259
161	0.282278096
162	0.2821391262
163	0.2818234717
164	0.2817231906
165	0.2815961459
166	0.281401021
167	0.2812666657
168	0.2811776932
169	0.2809936465
170	0.2807745804
171	0.2806693779
172	0.2805267571
173	0.2804356153
174	0.280350182
175	0.2802465589
176	0.2801325261
177	0.2800244132
178	0.279963675
179	0.2796273876
180	0.2795579186
181	0.2794913696
182	0.2793880398
183	0.2792964137
184	0.2792439296
185	0.279028859
186	0.2789839344
187	0.2789329093
188	0.2788724772
189	0.2787748881
190	0.2786971744
191	0.2786332822
192	0.2785623392
193	0.2784764282
194	0.2783734273
195	0.278275265
196	0.2782089387
197	0.2779796961
198	0.2778248075
199	0.2776694409
200	0.2775807336
201	0.2774444397
202	0.2772826818
203	0.2772122053
204	0.2771163078
205	0.2768603217
206	0.2767651233
207	0.2766678498
208	0.2765711225
209	0.2764805829
210	0.2763832898
211	0.2762887313
212	0.2761417069
213	0.2760349776
214	0.2759390714
215	0.2758500795
216	0.2757226664
217	0.2756436109
218	0.2755581737
219	0.2754820636
220	0.2754000614
221	0.2753048746
222	0.2751993523
223	0.2750146201
224	0.2748921106
225	0.2747844453
226	0.2746866813
227	0.2745861571
228	0.2745255287
229	0.2743372559
230	0.2742348319
231	0.2741342964
232	0.2740592003
233	0.2739834869
234	0.2739111161
235	0.2738402353
236	0.2737263516
237	0.2736472343
238	0.2735504113
239	0.2734742022
240	0.2733813591
241	0.2731325858
242	0.2730384132
243	0.2729461705
244	0.2727321819
245	0.2726503753
246	0.2723618596
247	0.2720943643
248	0.2720013451
249	0.2718864691
250	0.2717713963
251	0.2716927431
252	0.271581971
253	0.2715149343
254	0.2714486527
255	0.2713605589
256	0.2711002116
257	0.2709969534
258	0.2709145784
259	0.270867394
260	0.2707657662
261	0.2706522818
262	0.2704819168
263	0.2703824622
264	0.2703160973
265	0.2702305393
266	0.2701299585
267	0.2700330183
268	0.2698046187
269	0.2697025865
270	0.269612572
271	0.2695447821
272	0.2693046698
273	0.2692010055
274	0.2691301568
275	0.2690367316
276	0.2689641324
277	0.2688782921
278	0.2687738149
279	0.268688332
280	0.268626895
281	0.2685358724
282	0.2684719405
283	0.2683782154
284	0.2682923694
285	0.2682193087
286	0.2681719209
287	0.2680507753
288	0.2679570233
289	0.2678703788
290	0.267780716
291	0.2676962475
292	0.2676034424
293	0.2675247602
294	0.2674670238
295	0.2671693157
296	0.2670918768
297	0.267040086
298	0.2669593581
299	0.2668843279
300	0.2667969619
301	0.26659156
302	0.2663886988
303	0.266331782
304	0.2662461124
305	0.2661634372
306	0.2660879343
307	0.2660231326
308	0.2659559262
309	0.2658935963
310	0.2658246976
311	0.265740485
312	0.2656645152
313	0.2656193855
314	0.2655392042
315	0.2654628355
316	0.2653803693
317	0.2652369094
318	0.2651565624
319	0.2650197626
320	0.2649621158
321	0.2648876654
322	0.2648205052
323	0.2647699494
324	0.2646797029
325	0.2645948559
326	0.2645208686
327	0.2644596633
328	0.2644099412
329	0.2643496381
330	0.2642667516
331	0.2641067157
332	0.2640391933
333	0.2639689733
334	0.2638633388
335	0.2638074387
336	0.2637447312
337	0.2636882331
338	0.2634760696
339	0.2633982052
340	0.2633344516
341	0.2632505729
342	0.2631767453
343	0.2631275568
344	0.2630614924
345	0.2629926083
346	0.262943984
347	0.2628592808
348	0.2628245323
349	0.2627507233
350	0.2627061155
351	0.2626612653
352	0.2626119511
353	0.2625345154
354	0.262490316
355	0.2624233779
356	0.2623560745
357	0.2622707932
358	0.2622125702
359	0.2621439209
360	0.2620758897
361	0.2620478103
362	0.2619806784
363	0.2619042107
364	0.261844192
365	0.2617984455
366	0.2617356182
367	0.2616569563
368	0.2615637162
369	0.2615068662
370	0.2614756142
371	0.261445784
372	0.2613820507
373	0.2612754752
374	0.2612027709
375	0.2611175382
376	0.261056815
377	0.2609928922
378	0.2609414705
379	0.2608916669
380	0.2608523708
381	0.2607824576
382	0.2607141575
383	0.2606444734
384	0.2605819163
385	0.26051855
386	0.2604609513
387	0.2603784394
388	0.2603150298
389	0.2602732017
390	0.2601988828
391	0.2601288647
392	0.2600701002
393	0.2600363713
394	0.2598414624
395	0.2597833566
396	0.2597315085
397	0.2596927675
398	0.2596097163
399	0.2595333108
400	0.2594286209
401	0.2593377395
402	0.2592800545
403	0.2592186992
404	0.2591525243
405	0.259103738
406	0.2589233306
407	0.2588867297
408	0.2587748062
409	0.2587208422
410	0.2586609057
411	0.2585906095
412	0.2585374838
413	0.2584656231
414	0.2583978186
415	0.2583407183
416	0.2582776079
417	0.258208028
418	0.2581647396
419	0.2580504002
420	0.2579765182
421	0.2579096386
422	0.2578439095
423	0.2577813675
424	0.2577254971
425	0.2576402175
426	0.2575529665
427	0.2574981175
428	0.2574658036
429	0.2573770635
430	0.2573294454
431	0.2572748291
432	0.257227497
433	0.2571701964
434	0.257093119
435	0.2570253552
436	0.2569615396
437	0.2569233248
438	0.2568286482
439	0.2567607216
440	0.2567173136
441	0.256658322
442	0.2566196665
443	0.2565590315
444	0.2565097534
445	0.2564835285
446	0.2564291617
447	0.2563534284
448	0.2563128285
449	0.2562731209
450	0.2562229619
451	0.2561570752
452	0.2561006908
453	0.2560620135
454	0.2560155669
455	0.2559512164
456	0.2558902906
457	0.2558038886
458	0.255711874
459	0.2556635835
460	0.2555991334
461	0.2555433553
462	0.2554884017
463	0.255421683
464	0.2553812247
465	0.2553270328
466	0.2552633272
467	0.2552196106
468	0.2551715366
469	0.2551202198
470	0.2550514126
471	0.254998011
472	0.2549005183
473	0.2548435249
474	0.2547980721
475	0.2547372734
476	0.2547091226
477	0.2546778411
478	0.2546098375
479	0.2545504538
480	0.2545229604
481	0.2544814507
482	0.2544181551
483	0.2543840734
484	0.2543387491
485	0.2542930686
486	0.2542397335
487	0.2541820845
488	0.2541055908
489	0.2540505775
490	0.2539942326
491	0.2539564611
492	0.2538825515
493	0.253853618
494	0.2537952662
495	0.2537325234
496	0.2536900058
497	0.2536475191
498	0.2535878387
499	0.2535222874
500	0.2534833398
501	0.253415945
502	0.253340552
503	0.2533164026
504	0.2532410835
505	0.2531014777
506	0.2530530941
507	0.2530198604
508	0.2529621357
509	0.2529209517
510	0.2528469367
511	0.2528064895
512	0.2526296809
513	0.2525853439
514	0.2525495266
515	0.2525042745
516	0.2524757397
517	0.2524273255
518	0.2523949566
519	0.2523320758
520	0.2523056451
521	0.2522669994
522	0.2522352495
523	0.2521788384
524	0.2521416189
525	0.2520997523
526	0.252047464
527	0.2520253431
528	0.2519934047
529	0.2519662873
530	0.2518765656
531	0.2518354118
532	0.2517806419
533	0.2517237254
534	0.2516617651
535	0.2516196491
536	0.2515573298
537	0.2515121181
538	0.2514788385
539	0.2514229775
540	0.2513658803
541	0.2512984706
542	0.2512636611
543	0.2511952721
544	0.2511457793
545	0.2510994096
546	0.2510434311
547	0.2510090664
548	0.2509379029
549	0.2508619147
550	0.2508226663
551	0.2507895053
552	0.250754555
553	0.2507036467
554	0.2506420041
555	0.2505935848
556	0.2505455634
557	0.2505065208
558	0.2504451505
559	0.2503943076
560	0.2503444646
561	0.2503139286
562	0.2502592088
563	0.2502148594
564	0.2501629837
565	0.2501165718
566	0.2500846606
567	0.2500703493
568	0.2499915338
569	0.2499389713
570	0.2499044756
571	0.2498627008
572	0.2498315089
573	0.2497957072
574	0.2497453401
575	0.2496968185
576	0.2496478122
577	0.2496200254
578	0.2495606622
579	0.2495101407
580	0.2494585448
581	0.249406418
582	0.2493845966
583	0.2492721124
584	0.2492269547
585	0.2491945368
586	0.2491584999
587	0.2490946069
588	0.2490438688
589	0.2490052603
590	0.24897087
591	0.2489506321
592	0.2488946324
593	0.2488360051
594	0.2487743446
595	0.2487417126
596	0.2487183112
597	0.2486771554
598	0.2486159614
599	0.2485839483
600	0.2485472668
601	0.2484851949
602	0.248425424
603	0.2483903114
604	0.2483516635
605	0.2483178191
606	0.2482820375
607	0.2482308558
608	0.2481564728
609	0.2481064862
610	0.2480629252
611	0.248005661
612	0.2479725877
613	0.2479284221
614	0.2478412865
615	0.2477650479
616	0.2477360478
617	0.2476865725
618	0.2476445961
619	0.2476162661
620	0.2475768594
621	0.2475464947
622	0.2475090569
623	0.2474554644
624	0.2473807021
625	0.2473530794
626	0.2473275501
627	0.2473089622
628	0.2472748551
629	0.2472356058
630	0.2472035231
631	0.247163545
632	0.2471155411
633	0.2470645021
634	0.247035083
635	0.2470104453
636	0.2469557677
637	0.2467762605
638	0.2467149804
639	0.2466953259
640	0.2466484815
641	0.2466047361
642	0.2465506886
643	0.2464630839
644	0.2464133391
645	0.2463707108
646	0.2463233703
647	0.2463076966
648	0.2462713271
649	0.2462201255
650	0.2461710448
651	0.2461342858
652	0.2460735257
653	0.2460556612
654	0.2460105651
655	0.2459778487
656	0.2459364939
657	0.2459188963
658	0.2458732315
659	0.2458356074
660	0.24579968
661	0.2457863188
662	0.2457250082
663	0.2456751226
664	0.2456162032
665	0.2455546186
666	0.2455069976
667	0.2454869516
668	0.2454726583
669	0.2454195102
670	0.2453534832
671	0.2453209546
672	0.2452919579
673	0.245260306
674	0.2451704633
675	0.2451389743
676	0.2450885394
677	0.2450495756
678	0.2450145745
679	0.2449639213
680	0.2448841628
681	0.2448469428
682	0.2448160374
683	0.2447779685
684	0.2447183618
685	0.2446778329
686	0.2446069605
687	0.2445773839
688	0.2445478364
689	0.2445032985
690	0.2444806833
691	0.2444363535
692	0.2444099537
693	0.2443850401
694	0.2443406022
695	0.2442934526
696	0.2442475842
697	0.2441010935
698	0.2440876108
699	0.2440450434
700	0.2439855261
701	0.243923585
702	0.2438777462
703	0.2438327356
704	0.2437822991
705	0.2437518643
706	0.2437426733
707	0.2436996593
708	0.2436666946
709	0.2436036351
710	0.2435504846
711	0.243519817
712	0.2434601512
713	0.2434241459
714	0.243405763
715	0.2433700995
716	0.243303703
717	0.2431713079
718	0.2431273816
719	0.2430816076
720	0.2430563169
721	0.2430291097
722	0.2429759545
723	0.2429566293
724	0.242897554
725	0.2428550214
726	0.2428450025
727	0.2427770625
728	0.2427380495
729	0.2427008454
730	0.2426299226
731	0.2425869979
732	0.2425590159
733	0.2425062688
734	0.2424442185
735	0.2423758568
736	0.2423322646
737	0.2422991181
738	0.2422502534
739	0.2422021176
740	0.2421719476
741	0.2420754717
742	0.2420355331
743	0.2419994378
744	0.2419908947
745	0.2419503462
746	0.2418845868
747	0.2418399122
748	0.2418060239
749	0.2417957952
750	0.2417463719
751	0.2417107589
752	0.241662505
753	0.2416443684
754	0.2416348162
755	0.2416036211
756	0.2415921881
757	0.2415483984
758	0.2415288398
759	0.2414868882
760	0.2414522697
761	0.2413809094
762	0.241363366
763	0.241327068
764	0.2412806585
765	0.2412293005
766	0.2411910083
767	0.2411770048
768	0.2411431145
769	0.2411154027
770	0.2410747281
771	0.2410437245
772	0.241005921
773	0.2409389702
774	0.2408900493
775	0.2408478587
776	0.2407993125
777	0.2407659778
778	0.2406954078
779	0.2406767459
780	0.2406224092
781	0.2405872557
782	0.2405373175
783	0.2405097258
784	0.2404652193
785	0.2404043467
786	0.2403659508
787	0.2403218349
788	0.2403144595
789	0.2402702931
790	0.2402597685
791	0.2402130611
792	0.2401879102
793	0.240165089
794	0.2401234944
795	0.2400931429
796	0.2400524985
797	0.2399994063
798	0.2399683313
799	0.2398552785
800	0.2398227383
801	0.2397916046
802	0.2397377351
803	0.2396936347
804	0.2396545587
805	0.2396296436
806	0.2395659003
807	0.2395244414
808	0.2394951514
809	0.2394635302
810	0.2394263227
811	0.2394010027
812	0.239336289
813	0.2392870613
814	0.2392485665
815	0.2392036647
816	0.2391554805
817	0.2391156062
818	0.2390852753
819	0.2390554405
820	0.2390471406
821	0.2390309171
822	0.2390040793
823	0.2389649788
824	0.2389236377
825	0.2388838189
826	0.2388567173
827	0.23884407
828	0.2388082184
829	0.238794574
